rooms: bathroom, bedroom, kitchen, living
  FloorPlan1 s1: 10 views, 98 object-views, 58 relations [clear 53, hard 5 of which recoverable 1]
  FloorPlan1 s2: 10 views, 123 object-views, 84 relations [clear 83, hard 1 of which recoverable 0]
  FloorPlan1 s3: 10 views, 121 object-views, 80 relations [clear 80, hard 0 of which recoverable 0]
  FloorPlan20 s1: 10 views, 87 object-views, 78 relations [clear 47, hard 31 of which recoverable 3]
  FloorPlan20 s2: 10 views, 89 object-views, 72 relations [clear 49, hard 23 of which recoverable 2]
  FloorPlan20 s3: 10 views, 127 object-views, 136 relations [clear 96, hard 40 of which recoverable 3]
  FloorPlan5 s1: 10 views, 129 object-views, 96 relations [clear 89, hard 7 of which recoverable 0]
  FloorPlan5 s2: 10 views, 100 object-views, 68 relations [clear 66, hard 2 of which recoverable 1]
  FloorPlan5 s3: 10 views, 116 object-views, 98 relations [clear 86, hard 12 of which recoverable 6]
  FloorPlan3 s1: 10 views, 18 object-views, 7 relations [clear 5, hard 2 of which recoverable 0]
  FloorPlan3 s2: 10 views, 56 object-views, 29 relations [clear 29, hard 0 of which recoverable 0]
  FloorPlan3 s3: 10 views, 34 object-views, 13 relations [clear 12, hard 1 of which recoverable 1]
  FloorPlan201 s1: 10 views, 113 object-views, 96 relations [clear 49, hard 47 of which recoverable 12]
  FloorPlan201 s2: 10 views, 119 object-views, 159 relations [clear 78, hard 81 of which recoverable 6]
  FloorPlan201 s3: 10 views, 92 object-views, 67 relations [clear 23, hard 44 of which recoverable 2]
  FloorPlan204 s1: 10 views, 92 object-views, 82 relations [clear 53, hard 29 of which recoverable 6]
  FloorPlan204 s2: 10 views, 134 object-views, 145 relations [clear 127, hard 18 of which recoverable 2]
  FloorPlan204 s3: 10 views, 60 object-views, 17 relations [clear 16, hard 1 of which recoverable 1]
  FloorPlan215 s1: 10 views, 95 object-views, 72 relations [clear 60, hard 12 of which recoverable 5]
  FloorPlan215 s2: 10 views, 39 object-views, 17 relations [clear 15, hard 2 of which recoverable 2]
  FloorPlan215 s3: 10 views, 95 object-views, 48 relations [clear 42, hard 6 of which recoverable 1]
  FloorPlan218 s1: 10 views, 99 object-views, 127 relations [clear 76, hard 51 of which recoverable 14]
  FloorPlan218 s2: 10 views, 78 object-views, 58 relations [clear 47, hard 11 of which recoverable 4]
  FloorPlan218 s3: 10 views, 40 object-views, 29 relations [clear 28, hard 1 of which recoverable 1]
  FloorPlan230 s1: 10 views, 102 object-views, 118 relations [clear 79, hard 39 of which recoverable 13]
  FloorPlan230 s2: 10 views, 65 object-views, 59 relations [clear 51, hard 8 of which recoverable 4]
  FloorPlan230 s3: 10 views, 76 object-views, 41 relations [clear 34, hard 7 of which recoverable 2]

60 scene records under occlusion_ds3/
